"Player","Season","Team","GP","TOI","SA","GA","Sv%","xSv%","dSv%","LDSv%","MDSv%","HDSv%","GSAA"
"JAKE.ALLEN","2017-2018","STL",59,2670.95,1301,100,92.31,92.51,-0.2,97.19,91.67,80.7,-2.57
"JAKE.ALLEN","2018-2019","STL",46,2025.08,999,84,91.59,92.48,-0.88,97.53,88.89,80.12,-8.83
"JAMES.REIMER","2010-2011","TOR",37,1591,883,59,93.32,93.13,0.19,97.4,92.47,82.03,1.66
"JAMES.REIMER","2011-2012","TOR",34,1480.26,764,62,91.88,92.48,-0.6,98.62,89.69,78.57,-4.55
"JAMES.REIMER","2012-2013","TOR",33,1459.95,806,60,92.56,92.48,0.08,98.27,90.69,80.52,0.61
"JAMES.REIMER","2013-2014","TOR",36,1416.7,857,65,92.42,92.86,-0.44,98.21,87.55,83.45,-3.77
"JAMES.REIMER","2014-2015","TOR",35,1399.3,802,70,91.27,91.59,-0.32,97.42,89.22,82.61,-2.54
"JAMES.REIMER","2015-2016","TOR/S.J",40,1786.83,889,53,94.04,93.07,0.97,97.05,93.53,85.61,8.59
"JAMES.REIMER","2016-2017","FLA",43,1839.12,982,66,93.28,92.48,0.8,98.4,93.08,79.35,7.88
"JAMES.REIMER","2017-2018","FLA",44,1919.95,1045,87,91.67,91.92,-0.25,97.73,90.7,79.13,-2.61
"JAMES.REIMER","2018-2019","FLA",36,1428.87,730,66,90.96,91.32,-0.36,97.57,91.9,75.32,-2.65
"JARED.COREAU","2016-2017","DET",14,568.35,279,27,90.32,92.35,-2.03,97.71,88,75,-5.65
"JARED.COREAU","2017-2018","DET",7,324.02,167,18,89.22,92.04,-2.81,97.59,84.31,75.76,-4.7
"JAROSLAV.HALAK","2007-2008","MTL",6,203.71,114,8,92.98,93.82,-0.83,96.43,89.13,91.67,-0.95
"JAROSLAV.HALAK","2008-2009","MTL",34,1422.18,811,61,92.48,92.13,0.34,97.34,93.16,79.23,2.79
"JAROSLAV.HALAK","2009-2010","MTL",45,2052.6,1059,69,93.48,92.21,1.28,98.59,93.9,79.89,13.53
"JAROSLAV.HALAK","2010-2011","STL",57,2585.6,1176,96,91.84,92.01,-0.18,97.28,92,80,-2.08
"JAROSLAV.HALAK","2011-2012","STL",46,2123.6,910,57,93.74,92.34,1.4,97.58,94.59,83.52,12.71
"JAROSLAV.HALAK","2012-2013","STL",16,641.11,220,20,90.91,91.99,-1.08,96.74,94.05,72.73,-2.37
"JAROSLAV.HALAK","2013-2014","STL/WSH",52,2260.14,1039,80,92.3,92.81,-0.51,97.59,90.48,80.49,-5.31
"JAROSLAV.HALAK","2014-2015","NYI",59,2841.7,1305,100,92.34,90.92,1.42,97.57,93.16,82.86,18.47
